family,metric,label,higher_is_better,reference,domain,sources_in_cohort,n_paired,shipped__mean,shipped__marginal_mean,shipped__ci_low,shipped__ci_high,shipped__se,shipped__n,shipped__diff_vs_ref,shipped__diff_ci_low,shipped__diff_ci_high,shipped__p,baseline__mean,baseline__marginal_mean,baseline__ci_low,baseline__ci_high,baseline__se,baseline__n,baseline__diff_vs_ref,baseline__diff_ci_low,baseline__diff_ci_high,baseline__p,agentic__mean,agentic__marginal_mean,agentic__ci_low,agentic__ci_high,agentic__se,agentic__n,agentic__diff_vs_ref,agentic__diff_ci_low,agentic__diff_ci_high,agentic__p,agentic-goldonly__mean,agentic-goldonly__marginal_mean,agentic-goldonly__ci_low,agentic-goldonly__ci_high,agentic-goldonly__se,agentic-goldonly__n,agentic-goldonly__diff_vs_ref,agentic-goldonly__diff_ci_low,agentic-goldonly__diff_ci_high,agentic-goldonly__p,agentic-negonly__mean,agentic-negonly__marginal_mean,agentic-negonly__ci_low,agentic-negonly__ci_high,agentic-negonly__se,agentic-negonly__n,agentic-negonly__diff_vs_ref,agentic-negonly__diff_ci_low,agentic-negonly__diff_ci_high,agentic-negonly__p,shipped__q,shipped__fdr_family_n,agentic__q,agentic__fdr_family_n,agentic-goldonly__q,agentic-goldonly__fdr_family_n,agentic-negonly__q,agentic-negonly__fdr_family_n
grounding,generic_criterion_rate,Generic criterion rate,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.21813021208182498,0.21813021208182498,0.17892553570980987,0.2574890756644789,0.02012239712759412,62,-0.01208820696486731,-0.0640006878663188,0.03754028210088453,0.648035196480352,0.23021841904669227,0.23021841904669227,0.17208035191668972,0.2937296283465638,0.03069390840266548,62,,,,,0.11221216059925739,0.11221216059925739,0.06708336242610435,0.16434437426372908,0.0247173427144199,62,-0.11800625844743493,-0.15454404242710693,-0.08243900147659637,9.999000099990002e-05,0.11087709333677076,0.11087709333677076,0.06902786393713813,0.1585538184933346,0.02294927753804285,62,-0.11934132570992152,-0.16285877896349907,-0.0788032186425213,9.999000099990002e-05,0.11073086859377182,0.11073086859377182,0.06710423648931713,0.16008335246742503,0.02398700341897691,62,-0.11948755045292049,-0.16208868080843886,-0.08079103237843752,9.999000099990002e-05,0.8331881097604527,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
grounding,generic_rate_permuted,…permutation control,,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.9694704489059328,0.9694704489059328,0.9476966380393799,0.9871244179207889,0.010141324543797486,62,-0.008659172368849789,-0.02442312391909167,0.005974015903451382,0.2755724427557244,0.9781296212747825,0.9781296212747825,0.9614491456124521,0.9910018297115071,0.007723934679473455,62,,,,,0.9800307219662058,0.9800307219662058,0.9599836789554532,0.9956989247311828,0.00924807528285125,62,0.0019011006914232732,-0.013172813969184937,0.01530434842934842,0.8041195880411959,0.986316908897554,0.986316908897554,0.971903801843318,0.9973144127377997,0.00649299911981574,62,0.008187287622771496,-0.007545632011357816,0.026364082825776354,0.39676032396760325,0.9839413722478239,0.9839413722478239,0.9673319892473118,0.9957885304659498,0.007308040805081394,62,0.005811750973041295,-0.011717986314760509,0.02356462981462978,0.5396460353964604,0.41335866413358663,18,0.9046345365463454,18,0.5101204165297756,18,0.6071017898210179,18
grounding,weight_mass_on_generic_paper,Reward mass on generic criteria,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.16774994438889,0.16774994438889,0.13425573905730434,0.20267275177966917,0.017510719759904952,62,-0.034984858027616535,-0.0851172175449635,0.011308478861261226,0.16978302169783022,0.2027348024165065,0.2027348024165065,0.14553043621501027,0.26626145848545446,0.03077914907263988,62,,,,,0.10178671979446388,0.10178671979446388,0.05884174186310472,0.15156418504490254,0.023664287987637145,62,-0.10094808262204262,-0.14090052487477966,-0.06246765867753222,9.999000099990002e-05,0.1048993861038311,0.1048993861038311,0.06366736594165164,0.1515446797671037,0.022648488422490592,62,-0.09783541631267542,-0.1425396942008348,-0.05637707090396894,9.999000099990002e-05,0.10344039951989283,0.10344039951989283,0.061160191361393994,0.15179783385778622,0.02336398107295696,62,-0.09929440289661365,-0.14337540246763317,-0.06018352564495578,9.999000099990002e-05,0.33956604339566043,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
grounding,mean_anchors_per_criterion,Anchors per criterion,True,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,2.031394143490918,2.031394143490918,1.801386230257198,2.2794061941642583,0.12068451809441552,62,-0.11639933437846159,-0.3086013616759585,0.07154241907681182,0.2511748825117488,2.1477934778693797,2.1477934778693797,1.8627219652711826,2.4400968217951147,0.146766925051037,62,,,,,2.8001369821934343,2.8001369821934343,2.45666417363998,3.1503266776905887,0.17707911683710673,62,0.6523435043240545,0.462508551760805,0.8549382498365538,9.999000099990002e-05,2.7158326216793967,2.7158326216793967,2.3690122528681,3.0718841815666416,0.17860816033500032,62,0.5680391438100165,0.3675769258282305,0.7881413788022541,9.999000099990002e-05,2.6187016612419836,2.6187016612419836,2.285709829485031,2.950459923141375,0.16852417002843098,62,0.4709081833726046,0.30332459131765355,0.6446606767283948,9.999000099990002e-05,0.4110134441101344,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
grounding,weak_grounding_rate,Weakly grounded (<2 anchors),False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.4554577590867913,0.4554577590867913,0.3968592585729683,0.5177542562724015,0.03078600412387394,62,0.012074584702668199,-0.037709384885618265,0.061924608966829046,0.6438356164383562,0.44338317438412317,0.44338317438412317,0.37432744562784886,0.5145446408035356,0.03583670601858922,62,,,,,0.31202057351250895,0.31202057351250895,0.24142736463805015,0.3868664036456375,0.03744403954520351,62,-0.13136260087161414,-0.17950914370654641,-0.08292345146946668,9.999000099990002e-05,0.31349309292857674,0.31349309292857674,0.2435904709090193,0.38864392216206733,0.03744092133882666,62,-0.12989008145554634,-0.17970632815687365,-0.0798469097579629,9.999000099990002e-05,0.32308312207505757,0.32308312207505757,0.25130916126883873,0.40137674993017736,0.03858214610854396,62,-0.12030005230906561,-0.16980074890979774,-0.0726776889368801,9.999000099990002e-05,0.8331881097604527,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
grounding,recyclable_rate,Recyclable criterion rate,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62,,,,,0.0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,1.0,1.0,18,1.0,18,1.0,18,1.0,18
grounding,subjective_or_style_rate,Subjective/style criterion rate,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.3488453302969431,0.3488453302969431,0.299205790848936,0.4008604489148843,0.026040102980241106,62,0.15747700802254883,0.10154716857041335,0.21194468284719709,9.999000099990002e-05,0.1913683222743944,0.1913683222743944,0.13945662207284595,0.24828847471577542,0.027732973975667024,62,,,,,0.07475327092262576,0.07475327092262576,0.03803117749186297,0.11641764653357385,0.02035935897851361,62,-0.1166150513517686,-0.16669203273271108,-0.06853913368678553,9.999000099990002e-05,0.07718569512924352,0.07718569512924352,0.03855210257932032,0.12110890509580025,0.02119416191237385,62,-0.11418262714515086,-0.1618030999808751,-0.06884061219983897,9.999000099990002e-05,0.06686131968390033,0.06686131968390033,0.03399789950193176,0.10478803118924088,0.01813910567627412,62,-0.12450700259049408,-0.17117498514557336,-0.0803976086637377,9.999000099990002e-05,0.0004499550044995501,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
grounding,weight_mass_on_subjective,Reward mass on subjective criteria,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.3465892565032805,0.3465892565032805,0.2893657475023659,0.40615301861223746,0.029942160678472406,62,0.16635895959174773,0.10612843312099501,0.22540604131712058,9.999000099990002e-05,0.18023029691153272,0.18023029691153272,0.1249888436928345,0.24066849619642822,0.029502812421799564,62,,,,,0.07397724520032072,0.07397724520032072,0.037829765340036625,0.11456631268372017,0.019893070521572225,62,-0.106253051711212,-0.15985293546842672,-0.056893737464410205,0.00019998000199980003,0.07849059977483278,0.07849059977483278,0.037960772724981766,0.12443813828234014,0.02218057704874347,62,-0.10173969713669996,-0.15498302450705637,-0.05245640526096924,0.00019998000199980003,0.06908942674822191,0.06908942674822191,0.032910574952213736,0.11145915830875427,0.02016350206807683,62,-0.1111408701633108,-0.16335673843835818,-0.06187772040426658,9.999000099990002e-05,0.0004499550044995501,18,0.00035996400359964006,18,0.00035996400359964006,18,0.00013844769369216926,18
grounding,specificity_lift,Specificity lift vs permuted,True,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.7513402368241077,0.7513402368241077,0.7083179488522231,0.7931858732665183,0.021528912157097388,62,0.0034290345960175214,-0.04843737895564271,0.057566448481415275,0.901009899010099,0.7479112022280903,0.7479112022280903,0.6823203214664313,0.8079338297560547,0.03197456494509185,62,,,,,0.8678185613669486,0.8678185613669486,0.8154584975955943,0.9138544967577225,0.025111980306654746,62,0.1199073591388582,0.08355287021380477,0.15765509237757813,9.999000099990002e-05,0.8754398155607833,0.8754398155607833,0.8258015036039231,0.9195231499011741,0.024248249277405085,62,0.12752861333269305,0.08179731111182725,0.17562291308733427,9.999000099990002e-05,0.873210503654052,0.873210503654052,0.8204429010729414,0.9194845885521288,0.02547042582314919,62,0.12529930142596177,0.08426287152390094,0.17122470459252956,9.999000099990002e-05,1.0,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
lint,compliance_rate,RaR prompt compliance rate,True,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-goldonly', 'agentic-negonly']",62,0.8942130897776058,0.8942130897776058,0.8648515507789701,0.9218699814969976,0.014474834389997809,62,-0.004571235216396504,-0.03626454750446687,0.02748385910684298,0.7747225277472253,0.8987843249940023,0.8987843249940023,0.8685870950286271,0.927508858748778,0.014938028625789334,62,,,,,0.737867195528486,0.737867195528486,0.6841791608928706,0.7909742531214307,0.027365116440356465,62,-0.1609171294655166,-0.21117636283966926,-0.11392105094726061,9.999000099990002e-05,0.7380484211129372,0.7380484211129372,0.6840175181001794,0.791260086239925,0.027500629268626658,62,-0.16073590388106518,-0.2037258798549121,-0.1196099476240606,9.999000099990002e-05,0.7397499453951066,0.7397499453951066,0.6810076186134653,0.7967783398277349,0.029623173782882276,62,-0.15903437959889574,-0.2104601687514994,-0.11063232858091727,9.999000099990002e-05,0.9296670332966703,18,0.00019998000199980003,18,0.00019998000199980003,18,0.00013844769369216926,18
