family,metric,label,higher_is_better,reference,domain,sources_in_cohort,n_paired,agentic__mean,agentic__marginal_mean,agentic__ci_low,agentic__ci_high,agentic__se,agentic__n,agentic__diff_vs_ref,agentic__diff_ci_low,agentic__diff_ci_high,agentic__p,agentic-tools__mean,agentic-tools__marginal_mean,agentic-tools__ci_low,agentic-tools__ci_high,agentic-tools__se,agentic-tools__n,agentic-tools__diff_vs_ref,agentic-tools__diff_ci_low,agentic-tools__diff_ci_high,agentic-tools__p,agentic-tools__q,agentic-tools__fdr_family_n
grounding,generic_criterion_rate,Generic criterion rate,False,agentic,all,"['agentic', 'agentic-tools']",128,0.07917315973956598,0.07917315973956598,0.05398966512003621,0.10774260163664459,0.01376883173592724,128,,,,,0.07833109815531691,0.07833109815531691,0.054403062757554944,0.10538207641967406,0.012957991297740607,128,-0.0008420615842490834,-0.02154957509937979,0.01904380667075979,0.9343065693430657,1.0,18
grounding,generic_rate_permuted,…permutation control,,agentic,all,"['agentic', 'agentic-tools']",128,0.9671688012508326,0.9671688012508326,0.9498026981156864,0.981454716344853,0.008081026481313779,128,,,,,0.9660675912629038,0.9660675912629038,0.9507912746975247,0.9791495662540585,0.007194425306816873,128,-0.001101209987928738,-0.013353672965489375,0.010151708100926847,0.8546145385461453,1.0,18
grounding,weight_mass_on_generic_paper,Reward mass on generic criteria,False,agentic,all,"['agentic', 'agentic-tools']",128,0.07320627499608795,0.07320627499608795,0.04902476959403033,0.10069908110523147,0.013285779017446767,128,,,,,0.07811209110658215,0.07811209110658215,0.05291186062007043,0.10691586332873534,0.0137705703940123,128,0.004905816110494199,-0.016010474233311617,0.025503970592364044,0.6454354564543545,1.0,18
grounding,mean_anchors_per_criterion,Anchors per criterion,True,agentic,all,"['agentic', 'agentic-tools']",128,3.033813918286574,3.033813918286574,2.7984643364990043,3.2654416628293577,0.12064805129542559,128,,,,,2.9457979520479523,2.9457979520479523,2.7084073616812874,3.1801235461587023,0.1204457023186899,128,-0.0880159662386225,-0.22107500653643228,0.03997298437239835,0.19608039196080393,0.4411808819118088,18
grounding,weak_grounding_rate,Weakly grounded (<2 anchors),False,agentic,all,"['agentic', 'agentic-tools']",128,0.2642997735771173,0.2642997735771173,0.21905990385482574,0.31334407237727546,0.024095331375376058,128,,,,,0.25458081415112666,0.25458081415112666,0.21206153628272773,0.29997533472386995,0.02263961871546986,128,-0.009718959425990676,-0.03700240514693639,0.017478703208683676,0.49795020497950204,0.9006299370062992,18
grounding,recyclable_rate,Recyclable criterion rate,False,agentic,all,"['agentic', 'agentic-tools']",128,0.0,0.0,0.0,0.0,0.0,128,,,,,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,1.0,1.0,18
grounding,subjective_or_style_rate,Subjective/style criterion rate,False,agentic,all,"['agentic', 'agentic-tools']",128,0.07332799578893329,0.07332799578893329,0.04930099414474415,0.10084953078605421,0.013158798056894924,128,,,,,0.060018421248889994,0.060018421248889994,0.037967091773244116,0.08456419340208403,0.011989745831476195,128,-0.013309574540043289,-0.028453275782377344,0.0018143897660499219,0.0796920307969203,0.2868913108689131,18
grounding,weight_mass_on_subjective,Reward mass on subjective criteria,False,agentic,all,"['agentic', 'agentic-tools']",128,0.07395829032021561,0.07395829032021561,0.04976004467775764,0.10121568629827209,0.013207913114001395,128,,,,,0.05828762083225565,0.05828762083225565,0.036547732600926496,0.08243560983853501,0.011878113779565784,128,-0.015670669487959955,-0.031051639063348253,-0.0006683685065740666,0.044195580441955803,0.19888011198880112,18
grounding,specificity_lift,Specificity lift vs permuted,True,agentic,all,"['agentic', 'agentic-tools']",128,0.8879956415112665,0.8879956415112665,0.8563116503179979,0.9164846012819645,0.015386161802448842,128,,,,,0.8877364931075868,0.8877364931075868,0.8569497627481026,0.9151875080756916,0.014872672912832363,128,-0.0002591484036796529,-0.024879088467955657,0.024115350253045557,0.9842015798420158,1.0,18
lint,compliance_rate,RaR prompt compliance rate,True,agentic,all,"['agentic', 'agentic-tools']",128,0.6749116009858197,0.6749116009858197,0.6350973876926025,0.7146714239536506,0.020398618547753596,128,,,,,0.7354241786858975,0.7354241786858975,0.697962265327988,0.772903429307238,0.018997934232365104,128,0.06051257770007769,0.028536464620449,0.09477056716070387,0.00039996000399960006,0.007199280071992801,18
